30-3-2007 17:12;;;;

Landbouwer;gerrit;;;



Delta;Prijs;Product;Tendens;Bedrijf 1 Ronde 1
Delta;Prijs;Uitgaven;Tendens;Bedrijf 1 Ronde 1
Delta;Hoeveelheid;Product;Tendens;bedrijf 1 ronde 1
Delta;Hoeveelheid;Uitgaven;Tendens;bedrijf 1 ronde 1





 ;;;;
Alea Rendement;     Bedrijf 1 Ronde 1;;;;;;;;;;;

Product;Categorie;Basis;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
Witte kool;Gewas overige opbrengsten;100;100;100;100;100;100;100;100;100;100;100
Zaaikl.verhuurd. €1000;Gewas overige opbrengsten;100;100;100;100;100;100;100;100;100;100;100
Zaaikl.verhuurd. €2000;Gewas overige opbrengsten;100;100;100;100;100;100;100;100;100;100;100
Zaaikl.verhuurd. €3000;Gewas overige opbrengsten;100;100;100;100;100;100;100;100;100;100;100
Zomergerst;Gewas overige opbrengsten;100;100;100;100;100;100;100;100;100;100;100
Zomertarwe;Gewas overige opbrengsten;100;100;100;100;100;100;100;100;100;100;100
Melk;Rundvee;31;31;31;31;31;31;31;31;31;31;31
Omzet en aanwas;Rundvee;200;200;200;200;200;200;200;200;200;200;200
Dierpremies;Rundvee;15;15;15;15;15;15;15;15;15;15;15
Overige opbrengst;Rundvee;5;5;5;5;5;5;5;5;5;5;5

 ;;;;;;;;;;;;
Alea Rendement;     Bedrijf 1 Ronde 1;;;;;;;;;;;

KOSTEN;Categorie;Basis;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
N kunstmest;Meststoffen NP;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5
P Kunstmest;Meststoffen NP;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6
Asperges;Zaaizaad plantgoed pootgoed;65;65;65;65;65;65;65;65;65;65;65
Bio cons. aardappelen;Zaaizaad plantgoed pootgoed;65;65;65;65;65;65;65;65;65;65;65
Bio pootaardappelen;Zaaizaad plantgoed pootgoed;65;65;65;65;65;65;65;65;65;65;65
Bio bruine bonen;Zaaizaad plantgoed pootgoed;65;65;65;65;65;65;65;65;65;65;65
Bio stamslabonen;Zaaizaad plantgoed pootgoed;65;65;65;65;65;65;65;65;65;65;65
Bio tuinbonen;Zaaizaad plantgoed pootgoed;65;65;65;65;65;65;65;65;65;65;65
Bio doperwten;Zaaizaad plantgoed pootgoed;65;65;65;65;65;65;65;65;65;65;65
Bio wintergerst;Zaaizaad plantgoed pootgoed;65;65;65;65;65;65;65;65;65;65;65
Bio zomergerst;Zaaizaad plantgoed pootgoed;65;65;65;65;65;65;65;65;65;65;65
Bio haver;Zaaizaad plantgoed pootgoed;65;65;65;65;65;65;65;65;65;65;65
Bio wintertarwe;Zaaizaad plantgoed pootgoed;65;65;65;65;65;65;65;65;65;65;65
Bio zomertarwe;Zaaizaad plantgoed pootgoed;65;65;65;65;65;65;65;65;65;65;65
Bio knolselderij;Zaaizaad plantgoed pootgoed;65;65;65;65;65;65;65;65;65;65;65
Bio winterpeen;Zaaizaad plantgoed pootgoed;65;65;65;65;65;65;65;65;65;65;65
Bio zaaiuien;Zaaizaad plantgoed pootgoed;65;65;65;65;65;65;65;65;65;65;65
Bio luzerne;Zaaizaad plantgoed pootgoed;65;65;65;65;65;65;65;65;65;65;65
Bio suikerbieten;Zaaizaad plantgoed pootgoed;65;65;65;65;65;65;65;65;65;65;65
Bio kroten;Zaaizaad plantgoed pootgoed;65;65;65;65;65;65;65;65;65;65;65
Bio witlofwortel;Zaaizaad plantgoed pootgoed;65;65;65;65;65;65;65;65;65;65;65
Blauwmaanzaad;Zaaizaad plantgoed pootgoed;65;65;65;65;65;65;65;65;65;65;65
Tulpen;Zaaizaad plantgoed pootgoed;65;65;65;65;65;65;65;65;65;65;65
Braakland;Zaaizaad plantgoed pootgoed;65;65;65;65;65;65;65;65;65;65;65
Braakland regio 2;Zaaizaad plantgoed pootgoed;65;65;65;65;65;65;65;65;65;65;65
Bruine bonen;Zaaizaad plantgoed pootgoed;65;65;65;65;65;65;65;65;65;65;65
Cichorei;Zaaizaad plantgoed pootgoed;65;65;65;65;65;65;65;65;65;65;65
Consumptieaardappelrassen hoge norm;Zaaizaad plantgoed pootgoed;65;65;65;65;65;65;65;65;65;65;65
Consumptieaardappelrassen overig;Zaaizaad plantgoed pootgoed;65;65;65;65;65;65;65;65;65;65;65
Consumptieaardappelrassen lage norm;Zaaizaad plantgoed pootgoed;65;65;65;65;65;65;65;65;65;65;65
Conservenerwten;Zaaizaad plantgoed pootgoed;65;65;65;65;65;65;65;65;65;65;65
Zetmeelaardappelen;Zaaizaad plantgoed pootgoed;65;65;65;65;65;65;65;65;65;65;65
Geen;Zaaizaad plantgoed pootgoed;65;65;65;65;65;65;65;65;65;65;65
Grasland met beweiden;Zaaizaad plantgoed pootgoed;65;65;65;65;65;65;65;65;65;65;65
Grasland met volledig maaien;Zaaizaad plantgoed pootgoed;65;65;65;65;65;65;65;65;65;65;65
Graszaad. Engels raaigras. 1e jaars;Zaaizaad plantgoed pootgoed;65;65;65;65;65;65;65;65;65;65;65
Graszaad. roodzwenkgras. 1e jaars;Zaaizaad plantgoed pootgoed;65;65;65;65;65;65;65;65;65;65;65
Graszaad. rietzwenkgras;Zaaizaad plantgoed pootgoed;65;65;65;65;65;65;65;65;65;65;65
Graszaad. veldbeemd;Zaaizaad plantgoed pootgoed;65;65;65;65;65;65;65;65;65;65;65
Graszaad. westerwolds;Zaaizaad plantgoed pootgoed;65;65;65;65;65;65;65;65;65;65;65
Groene erwten;Zaaizaad plantgoed pootgoed;65;65;65;65;65;65;65;65;65;65;65
Haver;Zaaizaad plantgoed pootgoed;65;65;65;65;65;65;65;65;65;65;65
Kapucijners;Zaaizaad plantgoed pootgoed;65;65;65;65;65;65;65;65;65;65;65
Karwijzaad;Zaaizaad plantgoed pootgoed;65;65;65;65;65;65;65;65;65;65;65
Knolselderij;Zaaizaad plantgoed pootgoed;65;65;65;65;65;65;65;65;65;65;65
Koolzaad;Zaaizaad plantgoed pootgoed;65;65;65;65;65;65;65;65;65;65;65
Korrelmaïs;Zaaizaad plantgoed pootgoed;65;65;65;65;65;65;65;65;65;65;65
Kunstweide;Zaaizaad plantgoed pootgoed;65;65;65;65;65;65;65;65;65;65;65
Luzerne;Zaaizaad plantgoed pootgoed;65;65;65;65;65;65;65;65;65;65;65
Natuur. faunarand;Zaaizaad plantgoed pootgoed;65;65;65;65;65;65;65;65;65;65;65
Natuur. akkerflora;Zaaizaad plantgoed pootgoed;65;65;65;65;65;65;65;65;65;65;65
Akkerbouw overig;Zaaizaad plantgoed pootgoed;65;65;65;65;65;65;65;65;65;65;65
Ov. tuinbouw;Zaaizaad plantgoed pootgoed;65;65;65;65;65;65;65;65;65;65;65
Ui. zaaiui. overig;Zaaizaad plantgoed pootgoed;65;65;65;65;65;65;65;65;65;65;65
Winterui. 2e jaars plantui;Zaaizaad plantgoed pootgoed;65;65;65;65;65;65;65;65;65;65;65
Pootaardappelrassen hoge norm;Zaaizaad plantgoed pootgoed;65;65;65;65;65;65;65;65;65;65;65
Pootaardappelrassen overig;Zaaizaad plantgoed pootgoed;65;65;65;65;65;65;65;65;65;65;65
Pootaardappelrassen lage norm;Zaaizaad plantgoed pootgoed;65;65;65;65;65;65;65;65;65;65;65
Prei;Zaaizaad plantgoed pootgoed;65;65;65;65;65;65;65;65;65;65;65
Winterrogge;Zaaizaad plantgoed pootgoed;65;65;65;65;65;65;65;65;65;65;65
Schorseneer;Zaaizaad plantgoed pootgoed;65;65;65;65;65;65;65;65;65;65;65
Snijmaïs. bedrijven met derogatie;Zaaizaad plantgoed pootgoed;65;65;65;65;65;65;65;65;65;65;65
Snijmaïs. bedrijven zonder derogatie;Zaaizaad plantgoed pootgoed;65;65;65;65;65;65;65;65;65;65;65
Spinazie;Zaaizaad plantgoed pootgoed;65;65;65;65;65;65;65;65;65;65;65
Spruitkool;Zaaizaad plantgoed pootgoed;65;65;65;65;65;65;65;65;65;65;65
Stam-. stokboon. vers;Zaaizaad plantgoed pootgoed;65;65;65;65;65;65;65;65;65;65;65
Suikerbieten;Zaaizaad plantgoed pootgoed;65;65;65;65;65;65;65;65;65;65;65
Triticale;Zaaizaad plantgoed pootgoed;65;65;65;65;65;65;65;65;65;65;65
Tuinbonen;Zaaizaad plantgoed pootgoed;65;65;65;65;65;65;65;65;65;65;65
Valeriaan;Zaaizaad plantgoed pootgoed;65;65;65;65;65;65;65;65;65;65;65
Veld- en tuinbonen. vers + rijp zaad;Zaaizaad plantgoed pootgoed;65;65;65;65;65;65;65;65;65;65;65
Vlas;Zaaizaad plantgoed pootgoed;65;65;65;65;65;65;65;65;65;65;65
Voederbieten;Zaaizaad plantgoed pootgoed;65;65;65;65;65;65;65;65;65;65;65
Waspeen;Zaaizaad plantgoed pootgoed;65;65;65;65;65;65;65;65;65;65;65
Wintergerst;Zaaizaad plantgoed pootgoed;65;65;65;65;65;65;65;65;65;65;65
Winterpeen;Zaaizaad plantgoed pootgoed;65;65;65;65;65;65;65;65;65;65;65
Wintertarwe;Zaaizaad plantgoed pootgoed;65;65;65;65;65;65;65;65;65;65;65
Witlof;Zaaizaad plantgoed pootgoed;65;65;65;65;65;65;65;65;65;65;65
Witte bonen;Zaaizaad plantgoed pootgoed;65;65;65;65;65;65;65;65;65;65;65
Witte kool;Zaaizaad plantgoed pootgoed;65;65;65;65;65;65;65;65;65;65;65
Zaaikl.verhuurd. €1000;Zaaizaad plantgoed pootgoed;65;65;65;65;65;65;65;65;65;65;65
Zaaikl.verhuurd. €2000;Zaaizaad plantgoed pootgoed;65;65;65;65;65;65;65;65;65;65;65
Zaaikl.verhuurd. €3000;Zaaizaad plantgoed pootgoed;65;65;65;65;65;65;65;65;65;65;65
Zomergerst;Zaaizaad plantgoed pootgoed;65;65;65;65;65;65;65;65;65;65;65
Zomertarwe;Zaaizaad plantgoed pootgoed;65;65;65;65;65;65;65;65;65;65;65
Asperges;Gewasbescherming;85;85;85;85;85;85;85;85;85;85;85
Bio cons. aardappelen;Gewasbescherming;85;85;85;85;85;85;85;85;85;85;85
Bio pootaardappelen;Gewasbescherming;85;85;85;85;85;85;85;85;85;85;85
Bio bruine bonen;Gewasbescherming;85;85;85;85;85;85;85;85;85;85;85
Bio stamslabonen;Gewasbescherming;85;85;85;85;85;85;85;85;85;85;85
Bio tuinbonen;Gewasbescherming;85;85;85;85;85;85;85;85;85;85;85
Bio doperwten;Gewasbescherming;85;85;85;85;85;85;85;85;85;85;85
Bio wintergerst;Gewasbescherming;85;85;85;85;85;85;85;85;85;85;85
Bio zomergerst;Gewasbescherming;85;85;85;85;85;85;85;85;85;85;85
Bio haver;Gewasbescherming;85;85;85;85;85;85;85;85;85;85;85
Bio wintertarwe;Gewasbescherming;85;85;85;85;85;85;85;85;85;85;85
Bio zomertarwe;Gewasbescherming;85;85;85;85;85;85;85;85;85;85;85
Bio knolselderij;Gewasbescherming;85;85;85;85;85;85;85;85;85;85;85
Bio winterpeen;Gewasbescherming;85;85;85;85;85;85;85;85;85;85;85
Bio zaaiuien;Gewasbescherming;85;85;85;85;85;85;85;85;85;85;85
Bio luzerne;Gewasbescherming;85;85;85;85;85;85;85;85;85;85;85
Bio suikerbieten;Gewasbescherming;85;85;85;85;85;85;85;85;85;85;85
Bio kroten;Gewasbescherming;85;85;85;85;85;85;85;85;85;85;85
Bio witlofwortel;Gewasbescherming;85;85;85;85;85;85;85;85;85;85;85
Blauwmaanzaad;Gewasbescherming;85;85;85;85;85;85;85;85;85;85;85
Tulpen;Gewasbescherming;85;85;85;85;85;85;85;85;85;85;85
Braakland;Gewasbescherming;85;85;85;85;85;85;85;85;85;85;85
Braakland regio 2;Gewasbescherming;85;85;85;85;85;85;85;85;85;85;85
Bruine bonen;Gewasbescherming;85;85;85;85;85;85;85;85;85;85;85
Cichorei;Gewasbescherming;85;85;85;85;85;85;85;85;85;85;85
Consumptieaardappelrassen hoge norm;Gewasbescherming;85;85;85;85;85;85;85;85;85;85;85
Consumptieaardappelrassen overig;Gewasbescherming;85;85;85;85;85;85;85;85;85;85;85
Consumptieaardappelrassen lage norm;Gewasbescherming;85;85;85;85;85;85;85;85;85;85;85
Conservenerwten;Gewasbescherming;85;85;85;85;85;85;85;85;85;85;85
Zetmeelaardappelen;Gewasbescherming;85;85;85;85;85;85;85;85;85;85;85
Geen;Gewasbescherming;85;85;85;85;85;85;85;85;85;85;85
Grasland met beweiden;Gewasbescherming;85;85;85;85;85;85;85;85;85;85;85
Grasland met volledig maaien;Gewasbescherming;85;85;85;85;85;85;85;85;85;85;85
Graszaad. Engels raaigras. 1e jaars;Gewasbescherming;85;85;85;85;85;85;85;85;85;85;85
Graszaad. roodzwenkgras. 1e jaars;Gewasbescherming;85;85;85;85;85;85;85;85;85;85;85
Graszaad. rietzwenkgras;Gewasbescherming;85;85;85;85;85;85;85;85;85;85;85
Graszaad. veldbeemd;Gewasbescherming;85;85;85;85;85;85;85;85;85;85;85
Graszaad. westerwolds;Gewasbescherming;85;85;85;85;85;85;85;85;85;85;85
Groene erwten;Gewasbescherming;85;85;85;85;85;85;85;85;85;85;85
Haver;Gewasbescherming;85;85;85;85;85;85;85;85;85;85;85
Kapucijners;Gewasbescherming;85;85;85;85;85;85;85;85;85;85;85
Karwijzaad;Gewasbescherming;85;85;85;85;85;85;85;85;85;85;85
Knolselderij;Gewasbescherming;85;85;85;85;85;85;85;85;85;85;85
Koolzaad;Gewasbescherming;85;85;85;85;85;85;85;85;85;85;85
Korrelmaïs;Gewasbescherming;85;85;85;85;85;85;85;85;85;85;85
Kunstweide;Gewasbescherming;85;85;85;85;85;85;85;85;85;85;85
Luzerne;Gewasbescherming;85;85;85;85;85;85;85;85;85;85;85
Natuur. faunarand;Gewasbescherming;85;85;85;85;85;85;85;85;85;85;85
Natuur. akkerflora;Gewasbescherming;85;85;85;85;85;85;85;85;85;85;85
Akkerbouw overig;Gewasbescherming;85;85;85;85;85;85;85;85;85;85;85
Ov. tuinbouw;Gewasbescherming;85;85;85;85;85;85;85;85;85;85;85
Ui. zaaiui. overig;Gewasbescherming;85;85;85;85;85;85;85;85;85;85;85
Winterui. 2e jaars plantui;Gewasbescherming;85;85;85;85;85;85;85;85;85;85;85
Pootaardappelrassen hoge norm;Gewasbescherming;85;85;85;85;85;85;85;85;85;85;85
Pootaardappelrassen overig;Gewasbescherming;85;85;85;85;85;85;85;85;85;85;85
Pootaardappelrassen lage norm;Gewasbescherming;85;85;85;85;85;85;85;85;85;85;85
Prei;Gewasbescherming;85;85;85;85;85;85;85;85;85;85;85
Winterrogge;Gewasbescherming;85;85;85;85;85;85;85;85;85;85;85
Schorseneer;Gewasbescherming;85;85;85;85;85;85;85;85;85;85;85
Snijmaïs. bedrijven met derogatie;Gewasbescherming;85;85;85;85;85;85;85;85;85;85;85
Snijmaïs. bedrijven zonder derogatie;Gewasbescherming;85;85;85;85;85;85;85;85;85;85;85
Spinazie;Gewasbescherming;85;85;85;85;85;85;85;85;85;85;85
Spruitkool;Gewasbescherming;85;85;85;85;85;85;85;85;85;85;85
Stam-. stokboon. vers;Gewasbescherming;85;85;85;85;85;85;85;85;85;85;85
Suikerbieten;Gewasbescherming;85;85;85;85;85;85;85;85;85;85;85
Triticale;Gewasbescherming;85;85;85;85;85;85;85;85;85;85;85
Tuinbonen;Gewasbescherming;85;85;85;85;85;85;85;85;85;85;85
Valeriaan;Gewasbescherming;85;85;85;85;85;85;85;85;85;85;85
Veld- en tuinbonen. vers + rijp zaad;Gewasbescherming;85;85;85;85;85;85;85;85;85;85;85
Vlas;Gewasbescherming;85;85;85;85;85;85;85;85;85;85;85
Voederbieten;Gewasbescherming;85;85;85;85;85;85;85;85;85;85;85
Waspeen;Gewasbescherming;85;85;85;85;85;85;85;85;85;85;85
Wintergerst;Gewasbescherming;85;85;85;85;85;85;85;85;85;85;85
Winterpeen;Gewasbescherming;85;85;85;85;85;85;85;85;85;85;85
Wintertarwe;Gewasbescherming;85;85;85;85;85;85;85;85;85;85;85
Witlof;Gewasbescherming;85;85;85;85;85;85;85;85;85;85;85
Witte bonen;Gewasbescherming;85;85;85;85;85;85;85;85;85;85;85
Witte kool;Gewasbescherming;85;85;85;85;85;85;85;85;85;85;85
Zaaikl.verhuurd. €1000;Gewasbescherming;85;85;85;85;85;85;85;85;85;85;85
Zaaikl.verhuurd. €2000;Gewasbescherming;85;85;85;85;85;85;85;85;85;85;85
Zaaikl.verhuurd. €3000;Gewasbescherming;85;85;85;85;85;85;85;85;85;85;85
Zomergerst;Gewasbescherming;85;85;85;85;85;85;85;85;85;85;85
Zomertarwe;Gewasbescherming;85;85;85;85;85;85;85;85;85;85;85
Asperges;Gewas overige toegerekende kosten;65;65;65;65;65;65;65;65;65;65;65
Bio cons. aardappelen;Gewas overige toegerekende kosten;65;65;65;65;65;65;65;65;65;65;65
Bio pootaardappelen;Gewas overige toegerekende kosten;65;65;65;65;65;65;65;65;65;65;65
Bio bruine bonen;Gewas overige toegerekende kosten;65;65;65;65;65;65;65;65;65;65;65
Bio stamslabonen;Gewas overige toegerekende kosten;65;65;65;65;65;65;65;65;65;65;65
Bio tuinbonen;Gewas overige toegerekende kosten;65;65;65;65;65;65;65;65;65;65;65
Bio doperwten;Gewas overige toegerekende kosten;65;65;65;65;65;65;65;65;65;65;65
Bio wintergerst;Gewas overige toegerekende kosten;65;65;65;65;65;65;65;65;65;65;65
Bio zomergerst;Gewas overige toegerekende kosten;65;65;65;65;65;65;65;65;65;65;65
Bio haver;Gewas overige toegerekende kosten;65;65;65;65;65;65;65;65;65;65;65
Bio wintertarwe;Gewas overige toegerekende kosten;65;65;65;65;65;65;65;65;65;65;65
Bio zomertarwe;Gewas overige toegerekende kosten;65;65;65;65;65;65;65;65;65;65;65
Bio knolselderij;Gewas overige toegerekende kosten;65;65;65;65;65;65;65;65;65;65;65
Bio winterpeen;Gewas overige toegerekende kosten;65;65;65;65;65;65;65;65;65;65;65
Bio zaaiuien;Gewas overige toegerekende kosten;65;65;65;65;65;65;65;65;65;65;65
Bio luzerne;Gewas overige toegerekende kosten;65;65;65;65;65;65;65;65;65;65;65
Bio suikerbieten;Gewas overige toegerekende kosten;65;65;65;65;65;65;65;65;65;65;65
Bio kroten;Gewas overige toegerekende kosten;65;65;65;65;65;65;65;65;65;65;65
Bio witlofwortel;Gewas overige toegerekende kosten;65;65;65;65;65;65;65;65;65;65;65
Blauwmaanzaad;Gewas overige toegerekende kosten;65;65;65;65;65;65;65;65;65;65;65
Tulpen;Gewas overige toegerekende kosten;65;65;65;65;65;65;65;65;65;65;65
Braakland;Gewas overige toegerekende kosten;65;65;65;65;65;65;65;65;65;65;65
Braakland regio 2;Gewas overige toegerekende kosten;65;65;65;65;65;65;65;65;65;65;65
Bruine bonen;Gewas overige toegerekende kosten;65;65;65;65;65;65;65;65;65;65;65
Cichorei;Gewas overige toegerekende kosten;65;65;65;65;65;65;65;65;65;65;65
Consumptieaardappelrassen hoge norm;Gewas overige toegerekende kosten;65;65;65;65;65;65;65;65;65;65;65
Consumptieaardappelrassen overig;Gewas overige toegerekende kosten;65;65;65;65;65;65;65;65;65;65;65
Consumptieaardappelrassen lage norm;Gewas overige toegerekende kosten;65;65;65;65;65;65;65;65;65;65;65
Conservenerwten;Gewas overige toegerekende kosten;65;65;65;65;65;65;65;65;65;65;65
Zetmeelaardappelen;Gewas overige toegerekende kosten;65;65;65;65;65;65;65;65;65;65;65
Geen;Gewas overige toegerekende kosten;65;65;65;65;65;65;65;65;65;65;65
Grasland met beweiden;Gewas overige toegerekende kosten;65;65;65;65;65;65;65;65;65;65;65
Grasland met volledig maaien;Gewas overige toegerekende kosten;65;65;65;65;65;65;65;65;65;65;65
Graszaad. Engels raaigras. 1e jaars;Gewas overige toegerekende kosten;65;65;65;65;65;65;65;65;65;65;65
Graszaad. roodzwenkgras. 1e jaars;Gewas overige toegerekende kosten;65;65;65;65;65;65;65;65;65;65;65
Graszaad. rietzwenkgras;Gewas overige toegerekende kosten;65;65;65;65;65;65;65;65;65;65;65
Graszaad. veldbeemd;Gewas overige toegerekende kosten;65;65;65;65;65;65;65;65;65;65;65
Graszaad. westerwolds;Gewas overige toegerekende kosten;65;65;65;65;65;65;65;65;65;65;65
Groene erwten;Gewas overige toegerekende kosten;65;65;65;65;65;65;65;65;65;65;65
Haver;Gewas overige toegerekende kosten;65;65;65;65;65;65;65;65;65;65;65
Kapucijners;Gewas overige toegerekende kosten;65;65;65;65;65;65;65;65;65;65;65
Karwijzaad;Gewas overige toegerekende kosten;65;65;65;65;65;65;65;65;65;65;65
Knolselderij;Gewas overige toegerekende kosten;65;65;65;65;65;65;65;65;65;65;65
Koolzaad;Gewas overige toegerekende kosten;65;65;65;65;65;65;65;65;65;65;65
Korrelmaïs;Gewas overige toegerekende kosten;65;65;65;65;65;65;65;65;65;65;65
Kunstweide;Gewas overige toegerekende kosten;65;65;65;65;65;65;65;65;65;65;65
Luzerne;Gewas overige toegerekende kosten;65;65;65;65;65;65;65;65;65;65;65
Natuur. faunarand;Gewas overige toegerekende kosten;65;65;65;65;65;65;65;65;65;65;65
Natuur. akkerflora;Gewas overige toegerekende kosten;65;65;65;65;65;65;65;65;65;65;65
Akkerbouw overig;Gewas overige toegerekende kosten;65;65;65;65;65;65;65;65;65;65;65
Ov. tuinbouw;Gewas overige toegerekende kosten;65;65;65;65;65;65;65;65;65;65;65
Ui. zaaiui. overig;Gewas overige toegerekende kosten;65;65;65;65;65;65;65;65;65;65;65
Winterui. 2e jaars plantui;Gewas overige toegerekende kosten;65;65;65;65;65;65;65;65;65;65;65
Pootaardappelrassen hoge norm;Gewas overige toegerekende kosten;65;65;65;65;65;65;65;65;65;65;65
Pootaardappelrassen overig;Gewas overige toegerekende kosten;65;65;65;65;65;65;65;65;65;65;65
Pootaardappelrassen lage norm;Gewas overige toegerekende kosten;65;65;65;65;65;65;65;65;65;65;65
Prei;Gewas overige toegerekende kosten;65;65;65;65;65;65;65;65;65;65;65
Winterrogge;Gewas overige toegerekende kosten;65;65;65;65;65;65;65;65;65;65;65
Schorseneer;Gewas overige toegerekende kosten;65;65;65;65;65;65;65;65;65;65;65
Snijmaïs. bedrijven met derogatie;Gewas overige toegerekende kosten;65;65;65;65;65;65;65;65;65;65;65
Snijmaïs. bedrijven zonder derogatie;Gewas overige toegerekende kosten;65;65;65;65;65;65;65;65;65;65;65
Spinazie;Gewas overige toegerekende kosten;65;65;65;65;65;65;65;65;65;65;65
Spruitkool;Gewas overige toegerekende kosten;65;65;65;65;65;65;65;65;65;65;65
Stam-. stokboon. vers;Gewas overige toegerekende kosten;65;65;65;65;65;65;65;65;65;65;65
Suikerbieten;Gewas overige toegerekende kosten;65;65;65;65;65;65;65;65;65;65;65
Triticale;Gewas overige toegerekende kosten;65;65;65;65;65;65;65;65;65;65;65
Tuinbonen;Gewas overige toegerekende kosten;65;65;65;65;65;65;65;65;65;65;65
Valeriaan;Gewas overige toegerekende kosten;65;65;65;65;65;65;65;65;65;65;65
Veld- en tuinbonen. vers + rijp zaad;Gewas overige toegerekende kosten;65;65;65;65;65;65;65;65;65;65;65
Vlas;Gewas overige toegerekende kosten;65;65;65;65;65;65;65;65;65;65;65
Voederbieten;Gewas overige toegerekende kosten;65;65;65;65;65;65;65;65;65;65;65
Waspeen;Gewas overige toegerekende kosten;65;65;65;65;65;65;65;65;65;65;65
Wintergerst;Gewas overige toegerekende kosten;65;65;65;65;65;65;65;65;65;65;65
Winterpeen;Gewas overige toegerekende kosten;65;65;65;65;65;65;65;65;65;65;65
Wintertarwe;Gewas overige toegerekende kosten;65;65;65;65;65;65;65;65;65;65;65
Witlof;Gewas overige toegerekende kosten;65;65;65;65;65;65;65;65;65;65;65
Witte bonen;Gewas overige toegerekende kosten;65;65;65;65;65;65;65;65;65;65;65
Witte kool;Gewas overige toegerekende kosten;65;65;65;65;65;65;65;65;65;65;65
Zaaikl.verhuurd. €1000;Gewas overige toegerekende kosten;65;65;65;65;65;65;65;65;65;65;65
Zaaikl.verhuurd. €2000;Gewas overige toegerekende kosten;65;65;65;65;65;65;65;65;65;65;65
Zaaikl.verhuurd. €3000;Gewas overige toegerekende kosten;65;65;65;65;65;65;65;65;65;65;65
Zomergerst;Gewas overige toegerekende kosten;65;65;65;65;65;65;65;65;65;65;65
Zomertarwe;Gewas overige toegerekende kosten;65;65;65;65;65;65;65;65;65;65;65
Asperges;Gewas reserve;55;55;55;55;55;55;55;55;55;55;55
Bio cons. aardappelen;Gewas reserve;55;55;55;55;55;55;55;55;55;55;55
Bio pootaardappelen;Gewas reserve;55;55;55;55;55;55;55;55;55;55;55
Bio bruine bonen;Gewas reserve;55;55;55;55;55;55;55;55;55;55;55
Bio stamslabonen;Gewas reserve;55;55;55;55;55;55;55;55;55;55;55
Bio tuinbonen;Gewas reserve;55;55;55;55;55;55;55;55;55;55;55
Bio doperwten;Gewas reserve;55;55;55;55;55;55;55;55;55;55;55
Bio wintergerst;Gewas reserve;55;55;55;55;55;55;55;55;55;55;55
Bio zomergerst;Gewas reserve;55;55;55;55;55;55;55;55;55;55;55
Bio haver;Gewas reserve;55;55;55;55;55;55;55;55;55;55;55
Bio wintertarwe;Gewas reserve;55;55;55;55;55;55;55;55;55;55;55
Bio zomertarwe;Gewas reserve;55;55;55;55;55;55;55;55;55;55;55
Bio knolselderij;Gewas reserve;55;55;55;55;55;55;55;55;55;55;55
Bio winterpeen;Gewas reserve;55;55;55;55;55;55;55;55;55;55;55
Bio zaaiuien;Gewas reserve;55;55;55;55;55;55;55;55;55;55;55
Bio luzerne;Gewas reserve;55;55;55;55;55;55;55;55;55;55;55
Bio suikerbieten;Gewas reserve;55;55;55;55;55;55;55;55;55;55;55
Bio kroten;Gewas reserve;55;55;55;55;55;55;55;55;55;55;55
Bio witlofwortel;Gewas reserve;55;55;55;55;55;55;55;55;55;55;55
Blauwmaanzaad;Gewas reserve;55;55;55;55;55;55;55;55;55;55;55
Tulpen;Gewas reserve;55;55;55;55;55;55;55;55;55;55;55
Braakland;Gewas reserve;55;55;55;55;55;55;55;55;55;55;55
Braakland regio 2;Gewas reserve;55;55;55;55;55;55;55;55;55;55;55
Bruine bonen;Gewas reserve;55;55;55;55;55;55;55;55;55;55;55
Cichorei;Gewas reserve;55;55;55;55;55;55;55;55;55;55;55
Consumptieaardappelrassen hoge norm;Gewas reserve;55;55;55;55;55;55;55;55;55;55;55
Consumptieaardappelrassen overig;Gewas reserve;55;55;55;55;55;55;55;55;55;55;55
Consumptieaardappelrassen lage norm;Gewas reserve;55;55;55;55;55;55;55;55;55;55;55
Conservenerwten;Gewas reserve;55;55;55;55;55;55;55;55;55;55;55
Zetmeelaardappelen;Gewas reserve;55;55;55;55;55;55;55;55;55;55;55
Geen;Gewas reserve;55;55;55;55;55;55;55;55;55;55;55
Grasland met beweiden;Gewas reserve;55;55;55;55;55;55;55;55;55;55;55
Grasland met volledig maaien;Gewas reserve;55;55;55;55;55;55;55;55;55;55;55
Graszaad. Engels raaigras. 1e jaars;Gewas reserve;55;55;55;55;55;55;55;55;55;55;55
Graszaad. roodzwenkgras. 1e jaars;Gewas reserve;55;55;55;55;55;55;55;55;55;55;55
Graszaad. rietzwenkgras;Gewas reserve;55;55;55;55;55;55;55;55;55;55;55
Graszaad. veldbeemd;Gewas reserve;55;55;55;55;55;55;55;55;55;55;55
Graszaad. westerwolds;Gewas reserve;55;55;55;55;55;55;55;55;55;55;55
Groene erwten;Gewas reserve;55;55;55;55;55;55;55;55;55;55;55
Haver;Gewas reserve;55;55;55;55;55;55;55;55;55;55;55
