//Le 19/08/10;modifié 853;;;;;
//;;;;;;
//;;;;;;
//;;;;;;
//;;;;;;
//;;;;;;
//;;;;;;
//AgriAtelierMargeFrm;;;;;;
//Programme; Variable; Français; English; Espanol; Nederlands; Portugues 
AtelierMDetailFrm;L_Charge;Charges;Expenses;Costos;Uitgaven;Encargos
AtelierMDetailFrm;L_Heure;heure;hour;hora;uur;horas
AtelierMDetailFrm;L_Marge;Marge;Margin;Margen;Marge;Margem
AtelierMDetailFrm;L_MargeDe;Marge de ;Margin of ;Margen de;Marge van;Margem de
AtelierMDetailFrm;L_MargeDet;Marge Détaillée  ;Detailed Margin ;Margen detallado;Gedetailleerde marge;Margem detalhada
AtelierMDetailFrm;L_MargeUnit;Marge unitaire;Margin per unit;Margen unitario;Marge per eenheid;Margem unitaria
AtelierMDetailFrm;L_Produit;Produits;Products;Productos;Producten;Produtos
AtelierMDetailFrm;L_Quant;Quant;Quant;Cantidad;Hvh;Quant
AtelierMDetailFrm;L_QuantEt;et + Quant;and + Quant;y + Cantidad;en + Hvh;e + Quant
AtelierMDetailFrm;L_QuantV;%2d Quant;%d Quant;%2d Cantidad;%2d Hvh;%2d Quant
AtelierMDetailFrm;L_SousTot;sous total;sub total;Subtotal;Subtotaal;Subtotal
AtelierMDetailFrm;L_Titre;Titre;Title;Título;Titel;Titulo
AtelierMDetailFrm;L_TitreGrille;NOM,CATEGORIE,Unité,Prix,Quantite,Valeur;NAME,CATEGORY,Unit,Price,Quantity,Value;NOMBRE,CATEGORIA,Unidad,Precio,Cantidad,Valor;NAAM,CATEGORIE,Eenheid,Prijs,Hoeveelheid,Waarde;NOME,CATEGORIA,Unidade,Preco,Quantidade,Valor
AtelierMDetailFrm;L_Total;Total;Total;Total;Totaal;Total
AtelierMDetailFrm;L_TotCharge;total Charges;total Expenses;Toral costos;totaal Uitgaven;total Encragos
AtelierMDetailFrm;L_TotChvol;total chf(vol);total exp f(vol);Total costosf(vol);totaal exp f(vol);total enc f(vol)
AtelierMDetailFrm;L_TotProd;total Produits;total Products;Total productos;totaal Producten;total Produtos
AtelierMDetailFrm;L_Travail;Travail;Labour;Trabajo;Arbeid;Trabalho
AtelierMDetailFrm;L_Valeur;Valeur;Value;Valor;Waarde;Valor
//;;;;;;
//;;;;;;
//;;;;;;
//CL_ES;;;;;;
//Programme; Variable; Français; English; Espanol; Nederlands; Portugues 
CL_ES;L_CarInvalide;  %c Est un Caractère Invalide;  %c Is not a valid character;%c es un carácter no válido;  %c Is geen geldig karakter;  %c E um caractere invalido
CL_ES;L_Cereale;Céréales;Cereals;Cereales;Granen;Cereais
CL_ES;L_ChGlob;Charge Globale;Total Expenses;Costo Total;Totaal uitgaven;Encargos globais
CL_ES;L_Engrais;Engrais;Fertilizers;Fertilizantes;Meststoffen;Adubos
CL_ES;L_NomAlpha;Doit commencer par caractère alpha;Must start with an alpha character;Debe empezar por el carácter alpha;U moet starten met een letter;Deve comecar por um caractere alfa
CL_ES;L_NomVide;Le nom est vide;Name is empty;El nombre esta vacio;Naam is leeg;O nome esta vazio
CL_ES;L_Normal;Normal;Normal;Normal;Normaal;Normal
CL_ES;L_Oleagineux;Oléagineux;Oleaginous plants;Oleaginosas;Oliehoudende gewassen;Oleaginosas
CL_ES;L_Phyto;Phytosanitaires;Pesticides;Fitosanitarios;Gewasbescherming;Agrotoxicos
CL_ES;L_Proteagineux;Protéagineux;Proteaginous plants;Proteaginosas;Eiwithoudende gewassen;Proteicas
CL_ES;L_Reduit;Réduit;Reduced;Reducido;Verminderd;Reduzido
CL_ES;L_Sans;Sans;Without;Sin;Zonder;Sem
CL_ES;L_Semence;Semences;Seeds;Semillas;Zaden;Sementes
CL_ES;LesTitresBilan[0];Immobilisation;Fixed Assets;Inmobilizacion;Vaste activa;imobilizacao
CL_ES;LesTitresBilan[1];Materiel Batiment;Material Buildings;Material construcción;Materiaal gebouwen;Material construcao
CL_ES;LesTitresBilan[10];Trésorerie;Treasury;Tesoreria;Kas;Tesouraria
CL_ES;LesTitresBilan[11];Perte;Losses;Perdidas;Verliezen;Perda
CL_ES;LesTitresBilan[12];Total Actif;Total Assets;Activo Total;Totale Activa;Ativo total
CL_ES;LesTitresBilan[13];PASSIF;LIABILITY;PASIVO;PASSIVA;PASSIVO
CL_ES;LesTitresBilan[14];Capital;Capital;Capital;Kapitaal;Capital
CL_ES;LesTitresBilan[15];Solde Privé;Private Revenues;Saldo Privado;Privé opbrengsten;Saldo privado
CL_ES;LesTitresBilan[16];Subvention;Subsidy;Subvención;Subsidie;Subsidio
CL_ES;LesTitresBilan[17];Dette LT;LT Debt;Deuda LP;LT Schuld;Divida LP
CL_ES;LesTitresBilan[18];Dette ct;ST Debt;Deuda CP;KT Schuld;Divida CP
CL_ES;LesTitresBilan[19];Dette Tva;Debt Vat;Deuda IVA;Schuld BTW;Divida Vat
CL_ES;LesTitresBilan[2];Animaux Reproducteurs;Breeders;Animales Reproductores;Ouderdieren;Reprodutores
CL_ES;LesTitresBilan[20];Dettes Diverses;Debt Misc.;Deudas Varias;Verschillende Schulden ;Dividas diversas
CL_ES;LesTitresBilan[21];Bénéfice;Profit;Beneficio;Winst;Beneficios
CL_ES;LesTitresBilan[22];Total Passif;Total Liabilities;Total Pasivo;Totaal Passiva;Passivo total
CL_ES;LesTitresBilan[3];Plantations;Plantations;Plantaciones;Aanplantingen;Plantacoes
CL_ES;LesTitresBilan[4];Stocks;Stocks;Stocks;Voorraden;Estoques
CL_ES;LesTitresBilan[5];Stocks en terre;Land;Terrenos;Land;Terra
CL_ES;LesTitresBilan[6];Animaux ;Animals;Animales ;Dieren;Animais
CL_ES;LesTitresBilan[7];Placements;Investments;Inversiones;Beleggingen;Investimentos
CL_ES;LesTitresBilan[8];Creance Tva;Debts Vat;Crédito IVA;Vordering BTW;Debitos Vat
CL_ES;LesTitresBilan[9];Creances Diverses;Debts Misc.;Créditos Varios;Verschillende vorderingen ;Debitos diversos
CL_ES;LesTitresCeg[0];Produits;Products;Productos;Producten;Produtos
CL_ES;LesTitresCeg[1];Recettes;Incomes;Ingresos;Inkomsten;Recettes
CL_ES;LesTitresCeg[10];Perte Exceptionnelle;Exceptional Losses;Pérdidas excepcionales;Exceptionele verliezen;Perda exepcional
CL_ES;LesTitresCeg[11];Amortissement Subvention;Depreciation Subsidy;Amortización Subvención;Afschrijving Subsidie;Amortizacao subsidios
CL_ES;LesTitresCeg[12];Charges;Costs;Costos;Kosten;Encargos
CL_ES;LesTitresCeg[13];Dépenses Exploitation;Farm Expenses;Gastos Explotación;BedrijfsUitgaven;Despesas a fazenda
CL_ES;LesTitresCeg[14];Dépenses Diverses;Misc. Expenses;Gastos diversos;Verschillende Uitgaven;Despesas diversas
CL_ES;LesTitresCeg[15];Val comptable cession;Transfer of Account Val;Val contable cesión;Waarde bij bedrijfsoverdracht;Val Transferencia contabil
CL_ES;LesTitresCeg[16];Charges de Structure;Fixed Asset Costs;Costos fijos;Kosten Vaste Activa;Encargos estruturais
CL_ES;LesTitresCeg[17];Amortissement Immo;Fixed Asset Depreciation;Amortización Inmo;Waardevermindering Vaste Activa;Amortizacao imobil.
CL_ES;LesTitresCeg[18];Amortissement Plantation;Land Depreciation;Amortización Plantación;Waardevermindering Land;Amortizacao plantacao
CL_ES;LesTitresCeg[19];Frais fin LT;LT Fin. Cost;Costos fin LP;LT Financiele lasten;Custo financ. LP
CL_ES;LesTitresCeg[2];Recettes Diverses;Misc. Incomes;Ingresos varios;Verschillende inkomens;Receitas diversas
CL_ES;LesTitresCeg[20];Frais fin CT;ST Fin. Cost;Costos fin CP;KT Financiele lasten;Custo financ. CP
CL_ES;LesTitresCeg[21];Frais fin OCCC;Overdraft Fin. Cost;Costos fin Crédito al descubierto;Kosten einde OCCC;Custo financ. Descoberto autorizado
CL_ES;LesTitresCeg[22];Autres Ch Struct;Other Fixed Costs;Otros Costos Fijos;Overige Vaste Kosten;Outros encargos estruturais
CL_ES;LesTitresCeg[23];Résultat;Results;Resultado;Resultaten;Resultado
CL_ES;LesTitresCeg[3];"Var. Stock""";Stock Var.;"Var. Stock""";Variabele Voorraad;"Var. Est""oques"
CL_ES;LesTitresCeg[4];Var. stock en terre;Land Stock Var.;Var. terrenos;Variabele LandVoorraad;Var. terra
CL_ES;LesTitresCeg[5];Var. inv animal Repro;Var. inv animal Repro;Var. Inv animal Repro;Var. inv dieren Repro;Var. inv reprodutores
CL_ES;LesTitresCeg[6];Var. inv animal Autre;Var. inv animal Other;Var. inv Otros animales;Var. inv dieren Andere;Var. inv outros animais
CL_ES;LesTitresCeg[7];Produits financiers;Financial Products;Productos financieros;Financiele producten;Produtos financeiros
CL_ES;LesTitresCeg[8];Production d'immo;Fixed Assets Production;Producción de inmo;Vaste Activa Productie;Produtos de imobilizacao
CL_ES;LesTitresCeg[9];Cession d'actif;Transfer of assets;Transferencia de activo;Overdracht van activa;Transferencia de ativos
CL_ES;LesTitresEmp[0];Annuités      Tot Ent;Annuities       Tot Farm;Anualidades Tot Emp;Annuiteiten          Totale Boerderij;Anuidades      Tot Ent
CL_ES;LesTitresEmp[1];Cap Remboursé Tot Ent;Cap Reimbursed  Tot Farm;Cap Reembolso Tot Emp;Kap Terugbetaald Totale Bedrijf;Cap Reembolsado Tot Ent
CL_ES;LesTitresEmp[10];Annuités      CT Ent;Annuities      ST Farm;Anualidades CP Emp;Annuiteiten          KT Boerderij;Anuidades      CP Ent
CL_ES;LesTitresEmp[11];Cap Remboursé CT Ent;Cap. Refund  ST Farm;Cap Reembolso CP Emp;Kap Terugbetaald       KT Bedrijf;Cap Reembolsado CP Ent
CL_ES;LesTitresEmp[12];Interet       CT Ent;Interest        ST Farm;Interes CP Emp;Rente       KT Boerderij;Juros       CP Ent
CL_ES;LesTitresEmp[13];Nouveaux  Emp CT Ent;New loans     ST Farm;Nuevos Prest CP Emp;Nieuwe Leningen       KT Bedrijf;Novos  Emp CP Ent
CL_ES;LesTitresEmp[14];Dettes        CT Ent;Debts           ST Farm;Deudas CP Emp;Schulden           KT Bedrijf;Dividas        CP Ent
CL_ES;LesTitresEmp[15];Annuités      Privé;Annuities      Private;Anualidades Privado;Annuiteiten          Privé;Anuidades      Privado
CL_ES;LesTitresEmp[16];Cap Remboursé Privé;Cap. Refund  Private;Cap Reembolso Privado;Kap Terugbetaald        Privé;Cap Reembolsado Privado
CL_ES;LesTitresEmp[17];Interet       Privé;Interest         Private;Interes Privado;Rente       Privé;Juros       Privado
CL_ES;LesTitresEmp[18];Nouveaux Emp  Privé;New loans     Private;Nuevos Prest Privado;Nieuwe Leningen       Privé;Novos Emp  Privado
CL_ES;LesTitresEmp[19];Dettes        Privé;Debts           Private;Deudas Privado;Schulden        Privé;Dividas        Privado
CL_ES;LesTitresEmp[2];Interet       Tot Ent;Interest        Tot Farm;Interes Tot Emp;Rente       Totale Bedrijf;Juros       Tot Ent
CL_ES;LesTitresEmp[3];Nouveaux Emp  Tot Ent;New Loan        Tot Farm;Nuevos Prest Tot Emp;Nieuwe Leningen       Totale Bedrijf;Novos Emp  Tot Ent
CL_ES;LesTitresEmp[4];Dettes        Tot Ent;Debts           Tot Farm;Deudas Tot Emp;Schulden             Totale Bedrijf;Dividas        Tot Ent
CL_ES;LesTitresEmp[5];Annuités      LT Ent;Annuities       LT Farm;Anualidades LP Emp;Annuiteiten          LT Bedrijf;Anuidades      LP Ent
CL_ES;LesTitresEmp[6];Cap Remboursé LT Ent;Cap Reimbursed  LT Farm;Cap Reembolso LP Emp;Kap Terugbetaald Totale Bedrijf;Cap Reembolsado LP Ent
CL_ES;LesTitresEmp[7];Interet       LT Ent;Interest        LT Farm;Interes LP Emp;Rente       LT Bedrijf;Juros       LP Ent
CL_ES;LesTitresEmp[8];Nouveaux Emp  LT Ent;New Loan        LT Farm;Nuevos Prest LP Emp;Nieuwe Leningen      LT Bedrijf;Novos Emp  LP Ent
CL_ES;LesTitresEmp[9];Dettes        LT Ent;Debts           LT Farm;Deudas LP Emp;Schulden             LT Bedrijf;Dividas        LP Ent
CL_ES;LesTitresImmo[0];Amortissement;Depreciation;Amortización ;Afschrijving;Amortissementizacao
CL_ES;LesTitresImmo[1];Val Résiduelle;Residual value;Val Residual;Restwaarde;Val Residual
CL_ES;LesTitresImmo[2];Achat;Buying;Compra;Aankoop;Compra
CL_ES;LesTitresImmo[3];Val Brute;Gross Value;Val Bruto;Bruto Waarde;Val Bruto
CL_ES;LesTitresPoste[0];Recettes Produits;Incomes Products;Ingreso Productos;Inkomsten Producten;Receitas Produtos
CL_ES;LesTitresPoste[1];Dépenses Appro;Expenses Supplies;Gastos Aprovisionamiento;Kas Uitgaven;Despesa Provisoes
CL_ES;LesTitresPoste[10];CEG;Farm Accounts;Cuentas de explotación;Rekening;Contas de exploração
CL_ES;LesTitresPoste[11];Variables;Variables;Variables;Variabelen;Variaveis
CL_ES;LesTitresPoste[12];Indicateurs;Indicators;Indicadores;Indicatoren;Indicadores
CL_ES;LesTitresPoste[13];Ext. Positive;Positive Ext.;Ext. Positivas;Positieve omgevingsfactoren;Ext. Positiva
CL_ES;LesTitresPoste[14];Ext. Négative;Negative Ext.;Ext. Negativas;Negatieve omgevingsfactoren;Ext. Nagativa
CL_ES;LesTitresPoste[15];Quant Produit;Product Quant;Cantidad Producida;Product Hoeveelheid;Quant Produto
CL_ES;LesTitresPoste[16];Quant Charge;Cost Quant;Cantidad Costos;Kosten Hoeveelheid;Quant Encargo
CL_ES;LesTitresPoste[17];Prix Produit;Product Price;Precio Producto;Product Prijs;Preco Produto
CL_ES;LesTitresPoste[18];Prix Charge;Cost Price;Precio Costo;Kost Prijs;Preco Encargo
CL_ES;LesTitresPoste[19];Immobilisation;Fixed Assets;Inmobilización;Vaste Activa;Imobilizacao
CL_ES;LesTitresPoste[2];Marge;Margin;Margen;Marge;Margem
CL_ES;LesTitresPoste[20];Emprunt;Loan;Prestamo;Lening;Emprestimo
CL_ES;LesTitresPoste[21];Emprunt LT;LT Loan;Prestamo LP;LT Lening;Emprestimo LP
CL_ES;LesTitresPoste[22];Emprunt CT;ST Loan;Prestamo CP;KT Lening;Emprestimo CP
CL_ES;LesTitresPoste[23];Emprunt Privé;Private Loan;Préstamo Privado;Privé Lening;Emprestimo Privado
CL_ES;LesTitresPoste[24];Subvention;Subsidy;Subvención;Subsidie;Subsidio
CL_ES;LesTitresPoste[25];Tva;Vat;IVA;BTW;Vat
CL_ES;LesTitresPoste[26];Surf Cultures;Crop area;Superf Cultivos;Oppervlakte Gewassen;Area culturas
CL_ES;LesTitresPoste[27];Surf Pérennes;Tree-crop Area;Sup Perennes;Oppervlakte Blijvende teelt;Area perenes
CL_ES;LesTitresPoste[28];Surf PluriAnnuelle;Multiannual Area;Sup Plurianuales;Oppervlakte Meerjarige gewassen;Area plurianuais
CL_ES;LesTitresPoste[29];Eff  Animaux;Number Animals;Nº Animales;Aantal Dieren;Efetivo animais
CL_ES;LesTitresPoste[3];Ch_structure;Fix_Ass_Costs;C_fijos;Kosten_Vaste_Activa;Ch_estrutura
CL_ES;LesTitresPoste[30];Mvt Animaux;Mvt Animals;Mvto Animales;Mvt Dieren;Mvt Animais
CL_ES;LesTitresPoste[4];Recettes_Diverses;Misc_Incomes;Ingresos_Varios;Verschillende_Inkomsten;Receitas_Diversas
CL_ES;LesTitresPoste[5];Dépenses_Diverses;Misc_Expenses;Gastos_Varios;Verschillende_Uitgaven;Despesas_Diversas
CL_ES;LesTitresPoste[6];Recettes_Familiales;Family_Incomes;Ingresos_Familiares;Familie_Inkomsten;Receitas_Familiares
CL_ES;LesTitresPoste[7];Dépenses_Familiales;Family_Expenses;Gastos_Familiares;Familie_Uitgaven;Despesas_Familiares
CL_ES;LesTitresPoste[8];Poste;Item;Puesto;Item;Item
CL_ES;LesTitresPoste[9];Bilan;Balance;Balance;Balans;Balanco
CL_ES;LesTitresSub[0];Valeur;Value;Valor;Waarde;Valor
CL_ES;LesTitresSub[1];Amortissement;Depreciation;Amortización ;Afschrijving;amortizacao
CL_ES;LesTitresSub[2];Val Résiduelle;Residual value;Val Residual;Restwaarde;Val residual
CL_ES;LesTitresTreso[0];Recettes Produits;Incomes Products;Ingresos Productos;Inkomsten Producten;Receitas Produtos
CL_ES;LesTitresTreso[1];Dépenses Appro;Expenses Supplies;Gastos Aprovisionamiento;Kas Uitgaven;Despesas Provisoes
CL_ES;LesTitresTreso[10];Résultat;Result;Resultado;Resultaten;Resultado
CL_ES;LesTitresTreso[11];Ebe;Ebe;Ebe;Ebe;Ebe
CL_ES;LesTitresTreso[12];Caf;Caf;Caf;Caf;Caf
CL_ES;LesTitresTreso[2];Marge;Margin;Margen;Marge;Margem
CL_ES;LesTitresTreso[3];Ch_structure;Fix_Ass_Costs;C_fijos;Kosten_Vaste_Activa;Ch_estrutura
CL_ES;LesTitresTreso[4];Recettes_Diverses;Misc_Incomes;Ingresos_Varios;Verschillende_Inkomsten;Receitas_Diversas
CL_ES;LesTitresTreso[5];Dépenses_Diverses;Misc_Expenses;Gastos_Varios;Verschillende_Uitgaven;Despesas_Diversas
CL_ES;LesTitresTreso[6];"Recettes_Familiales""";Family_Income;Ingresos_Familiares;Familie_Inkomen;"Receitas_Familiares"""
CL_ES;LesTitresTreso[7];Dépenses_Familiales;Family_Expenses;Gastos_Familiares;Familie_Uitgaven;Despesas_Familiares
CL_ES;LesTitresTreso[8];Solde;Balance;Saldo;Saldo;Saldo
CL_ES;LesTitresTreso[9];Solde Cumul;Total Balance;Saldo acumulado;Cum saldo;Saldo total
CL_ES;LesTitresTva[0];Encaissé;Cashed;Recibido;Geïnd;Caixa
CL_ES;LesTitresTva[1];Versé;Paid;Pagado;Betaald;Pago
CL_ES;LesTitresTva[2];Régularisation;Regularisation;Regularización;Regularisatie;Regularizacao
CL_ES;LesTitresTva[3];Solde;Balance;Saldo;Saldo;Saldo
CL_ES;L_ExistePas;Le Fichier %s n'existe pas. Le Créer ?;The %s file does not exist. Create it?;El Fichero %s no exista. ¿Quiere crearlo?;Het Bestand  %s bestaat niet. Wilt u het creëren?;O arquivo %s no exista. Querem criá-lo?
CL_ES;L_ProbSurFichier;PROBLEME SUR FICHIER;PROBLEM with the file;PROBLEMA con el fichero;PROBLEEM met het bestand.;PROBLEMA com o arquivo 
CL_ES;L_VerActuelle;Actuellement Version= %4.2f ;Currently Version= %4.2f ;Actualmente Versión= %4.2f ;Momenteel Versie= %4.2f ;Actualmente Versão= %4.2f 
CL_ES;L_JmetAJour;Je mets à jour Version= %4.2f   ?;Do you wish to update to Version= %4.2f ?;Desea poner al día el archivo= %4.2f   ?;Wenst u om aan Versie = %4.2f  bij te werken?;Actualizo versão= %4.2f   ?
CL_ES;L_VerInco;Version   %4.2f    Inconnue;Version   %4.2f    unknown;Versión   %4.2f   desconocida;Onbekende versie   %4.2f    ;Versão    %4.2f    desconhecida
//;;;;;;
//;;;;;;
//;;;;;;
//;;;;;;
//CL_Trad;;;;;;
//Programme; Variable; Français; English; Espanol; Nederlands; Portugues 
CL_Trad;L_2Point;manque : ;missing: ;falta :;missend :;faltando :
CL_Trad;L_Act_Action;ACTION;ACTION;ACCIÓN;ACTIE;ACAO
CL_Trad;L_Act_Arracher;Arracher;Uproot;Arrancar;Wieden;Destoca
CL_Trad;L_Act_DescAction;Description de l'action;Description of action;Descripción de la acción;Beschrijving van actie;Descricao da acao
CL_Trad;L_Act_Emprunter;Emprunter;Borrow;Pedir prestado;Lenen;Emprestar
CL_Trad;L_Act_Investir;Investir;Invest;Invertir;Investeren;Investir
CL_Trad;L_Act_Planter;Planter;Plant;Plantar;Planten;Plantar
CL_Trad;L_Act_Reg1;Règle 1;Rule 1;Regla 1;Regel 1;Regra 1
CL_Trad;L_Act_Remplacer;Remplacer;Replace;Remplazar;Vervangen;Substituir
CL_Trad;L_Act_Supprimer;Supprimer;Delete;Suprimir;Verwijderen;Apagar
CL_Trad;L_Agri;Agriculteur;Farmer;Agricultor;Landbouwer;Agricultor
CL_Trad;L_Animaux;Animaux;Animals;Animales;Dieren;Animais
CL_Trad;L_Atelier;Atelier;Activity;Actividad;Activiteit;Atividade
CL_Trad;L_Avt1;Avt 1;Before 1;Antes 1;Voor 1;Antes 1
CL_Trad;L_Bilan;Bilan;Balance;Balance;Balans;Balanco
CL_Trad;L_CarInco;caractère inconnu;unknown character;carácter desconocido;onbekend karakter;caractere desconhecido
CL_Trad;L_Cat;Catégorie;Category;Categoria;Categorie;Categoria
CL_Trad;L_CatAElt;Cette catégorie a des éléments!;This category contains items;Esta categoria tiene elementos!;Deze categorie bevat items;Essa categoria possui itens
CL_Trad;L_Ceg;CEG;Farm Accounts;Cuentas de explotación;Rekening;Contas de exploração
CL_Trad;L_Charge;Charges;Expenses;Costos;Uitgaven;Encargos
CL_Trad;L_ChfProd;Charges f(Quant);Expenses f(Prod);Costos f(Cantidad);Uitgaven f(Hoeveelheid);Encargos f(Quant)
CL_Trad;L_ChStruct;Charges Structure;Fixed Assets;Costos fijos;Vaste kosten;Encargos estruturais
CL_Trad;L_Culture;Culture;Crop;Cultivo;Gewassen;Cultura
CL_Trad;L_DepDiv;Dépenses diverses;Misc Expenses;Gastos diversos;Diverse uitgaven;Despesas diversas
CL_Trad;L_DonModifQ;Données Modifiées Voulez vous conserver;Data Modified Do you want to keep?;Datos modificados Quiere conservarlos;Gegevens gewijzigd  Wilt u deze behouden;Dados modificados Voce quer conserva-los
CL_Trad;L_DonModifT;MODIFICATION;MODIFICATION;MODIFICACIÓN;WIJZIGING;MODIFICACAO
CL_Trad;L_Eff_Achetes;Eff Achetés;Bought Number;Número comprado;Aankoopnummer;efetivo Comprado
CL_Trad;L_Eff_Vendus;Eff Vendus;Sold Number;Número vendido;Verkoopnummer;Efetivo vendido
CL_Trad;L_EffaceQ;j'efface TOUT ?;Do I delete ALL?;elimino todo?;Verwijder ik ALLES?;Apagar TUDO?
CL_Trad;L_EffaceT;EFFACER TOUT LE TABLEAU;DELETE ALL SHEET;ELIMINAR TODA LA TABLA;VERWIJDER ALLE BLADEN;APAGAR TODA A TABELA?
CL_Trad;L_Effectifs;Effectifs;Number;Número;Aantal;Efetivo
CL_Trad;L_Emp_Ct;ct;ST;cp;KT;CP
CL_Trad;L_Emp_Immo;immo;Fixed Assets;Inmo;Vaste activa;Imobili.
CL_Trad;L_Emp_Lt;lt;LT;lp;LT;LP
CL_Trad;L_Emp_Plact;plact;Invest;Inv;Investering;Investir
CL_Trad;L_Emp_Sub;sub;sub;sub;sub;sub
CL_Trad;L_Emp_Total;Total;Total;Total;Totaal;Total
CL_Trad;L_Emprunt;Emprunt;Loan;Prestamo;Lening;Emprestimo
CL_Trad;L_Emprunt_CT;Emprunt CT;ST Loan;Prestamo CP;KT Lening;Emprestimo CP
CL_Trad;L_Emprunt_LT;Emprunt LT;LT Loan;Prestamo LP;LT Lening;Emprestimo LP
CL_Trad;L_Emprunt_Prive;Emprunt Privé;Private Loan;Prestamo Privado;Privé lening;Emprestimo privado
CL_Trad;L_Erreur;ERREUR;ERROR;ERROR;FOUT;ERRO
CL_Trad;L_Exter;Externalités;Externalities;Externalidades;Omgevingseffecten;Externalidades
CL_Trad;L_Fam;Famille;Family;Familia;Familie;Familia
CL_Trad;L_IdentInco;Identificateur Inconnu;Unknown Identificator;Identificador Desconocido;Onbekende identificator;Identificador desconhecido
CL_Trad;L_Immobilisation;Immobilisation;Fixed Assets;Inmobilización;Vaste activa;Imobilizacao
CL_Trad;L_Impo;IMPOSSIBLE;IMPOSSIBLE;IMPOSIBLE;ONMOGELIJK;IMPOSSIVEL
CL_Trad;L_Inco;  Inconnu;  Unknown;Desconocido;Onbekend;  Desconhecido
CL_Trad;L_Inconnu; Inconnu  ; Unknown;Desconocido;Onbekend;Desconhecido
CL_Trad;L_Marge;Marge;Margin;Margen;Marge;Margem
CL_Trad;L_MargeHeure;Marge/heure;Margin/hour;Margen/hora;Marge/uur;Margem/hora
CL_Trad;L_Modif;MODIFICATION;MODIFICATION;MODIFICACIÓN;WIJZIGING;MODIFICACAO
CL_Trad;L_Mvt_Animaux;Mvt Animaux;Mvt Animals;Mvto Animales;Mvt Dieren;Mvt animais
CL_Trad;L_Nat;Nature;Nature;Naturaleza;Natuur;Natureza
CL_Trad;L_NbLong;nombre trop long;number too long;nombre demasiado largo;getal is te lang;numero muito grande
CL_Trad;L_Nom;Nom;Name;Nombre;Naam;Nome
CL_Trad;L_NonDef;Elément non défini;Item not defined;Elemento no definido;Item niet gedefinieerd;Item nao definido
CL_Trad;L_ParFerm;manque (;missing (;falta (;missend (;faltando (
CL_Trad;L_ParOuv;manque );missing );falta );missend );faltando )
CL_Trad;L_PasDeNom; %s row=%d Pas de nom; %s row=%d No name;%s row=%d No tiene nombre; %s rij=%d Geen Naam; %s rij=%d Sem nome
CL_Trad;L_PasFinComm;Absence de fin de Commentaire ];End of Comment missing ];Falta el final del comentario ];Einde van commentaar wordt gemist ];Faltando o fim do comentario ]
CL_Trad;L_PasUnite;Pas d'unité ligne %d ;No unit at line %d;No tiene unidad la línea %d;Geen eenheid in de lijn %d;Sem unidade linha %d
CL_Trad;L_Perenne;Pérenne;Tree crops;Perenne;Blijvende teelt;Perene
CL_Trad;L_Poste;Poste;Item;Puesto;Item;Item
CL_Trad;L_Probleme; Problème ; Problem;Problema;Probleem;Problema
CL_Trad;L_Proc_PasDon;Pas de données Je NE lance PAS;No data, I cannot start;No hay datos NO se puede comenzar;Geen gegevens, ik kan niet starten;Sem dados
CL_Trad;L_Produit;Produits;Products;Productos;Producten;Produtos
CL_Trad;L_QuitQ;Vous voulez vraiment quitter;Do you really want to exit?;Esta usted seguro de salir?;Weet u zeker dat u wilt afsluiten?;Voce quer realmente sair
CL_Trad;L_QuitT;QUITTER OLYMPE;EXIT OLYMPE;SALIR DE OLYMPE;SLUIT OLYMPE;SAIR DO OLYMPE
CL_Trad;L_RecDiv;Recettes diverses;Misc Revenues;Ingresos diversos;Diverse uitgaven;Receitas diversas
CL_Trad;L_Scenario;Scénario;Scenario;Escenario;Scenario;Cenario
CL_Trad;L_Subvention;Subvention;Subsidy;Subvención;Subsidie;Subsidio
CL_Trad;L_SupInutQ;j'efface tous les éléments INUTILISES ?;Do you want to delete all UNUSED items?;elimino todos los elementos INUTILIZADOS?;Weet u zeker dat u alle ONGEBRUIKTE items wilt verwijderen;Voce quer apagar todos os elementos nao utilizados?
CL_Trad;L_SupInutT;NETTOYER;REMOVE;LIMPIAR;VERWIJDER;REMOVER
CL_Trad;L_SupLiQ; Je supprime la ligne. Vous êtes sur ?; Do you really want to delete the line?;Estad usted seguro de suprimir esta línea?;Weet u zeker dat u deze lijn wilt verwijderen?;Voce tem certeza de que quer apagar a linha?
CL_Trad;L_Supp;SUPPRESSION;DELETION;SUPRESIÓN;VERWIJDERING;APAGANDO
CL_Trad;L_SupQ; Je supprime Vous êtes sur ?; Do you really want to delete?;Estad usted seguro de suprimir?;Weet u zeker dat u wilt verwijderen?;Voce tem certeza de que quer apagar?
CL_Trad;L_SupT;SUPPRESSION;DELETE;SUPRESIÓN;VERWIJDERING;APAGANDO
CL_Trad;L_SupToutQ; Attention Je supprime TOUT! Vous êtes sur ?; Attention! Do you really want to delete ALL?;Atención Estad usted seguro de suprimir TODO?; Attentie! Weet u zeker dat u ALLES wilt verwijderen?;Atencao! Voce quer realmente apagar TUDO?
CL_Trad;L_Tendance;Tendance;Tendancy;Tendencia;Tendens;Tendencia
CL_Trad;L_Total;Total;Total;Total;Totaal;Total
CL_Trad;L_TotalM;TOTAL;TOTAL;TOTAL;TOTAAL;TOTAL
CL_Trad;L_Tva;Tva;Vat;Iva;BTW;Vat
